	key	en	fr
42	environment_def	Environmental Quality affects human health through the quality of air, water and soil, which is related to the presence and density of hazardous substances. Environmental Quality also matters intrinsically to people who value natural beauty and the amenities that affect their life choices (e.g. a place to live). Finally, people benefit from environmental services and assets.	La qualité de l'environnement affecte la santé humaine en raison de la qualité de l'air, de l'eau et du sol, qui est liée à la présence et à la densité de substances dangereuses. La qualité de l'environnement est également intrinsèquement importante pour les personnes qui apprécient la beauté naturelle et les commodités qui influencent leurs choix de vie (par exemple, un endroit où vivre). Enfin, les individus bénéficient de services et d'actifs environnementaux.
43	safety_def	Safety is about freedom from harm, whether that harm comes in the form of crime, conflict, violence, terrorism, oppression, accidents or natural disasters.	La sécurité, c'est l'absence de mal, qu'il s'agisse de crime, de conflit, de violence, de terrorisme, d'oppression, d'accident ou de catastrophe naturelle.
44	satisfaction_def	Subjective Well-being is about good mental states, and how people experience their lives.	Le bien-être subjectif concerne les bons états mentaux et la façon dont les gens vivent leur vie.
45	ABW	Aruba	Aruba
46	AFG	Afghanistan	Afghanistan
47	AGO	Angola	Angola
48	AIA	Anguilla	Anguilla
49	ALA	Åland	Åland
50	ALB	Albania	Albanie
51	AND	Andorra	Andorre
52	ARE	United Arab Emirates	Émirats arabes unis
53	ARG	Argentina	Argentine
54	ARM	Armenia	Arménie
55	ATA	Antarctica	Antarctique
56	ATF	French Southern and Antarctic Lands	TAAF
57	ATG	Antigua and Barbuda	Antigua-et-Barbuda
58	AUS	Australia	Australie
59	AUT	Austria	Autriche
60	AZE	Azerbaijan	Azerbaïdjan
61	BDI	Burundi	Burundi
62	BEL	Belgium	Belgique
63	BEN	Benin	Bénin
64	BES	Bonaire	Bonaire
65	BES	Saba	Bonaire
66	BES	Saint Eustatius	Bonaire
67	BFA	Burkina Faso	Burkina Faso
68	BGD	Bangladesh	Bangladesh
69	BGR	Bulgaria	Bulgarie
70	BHR	Bahrain	Bahreïn
71	BHS	Bahamas	Bahamas
72	BIH	Bosnia and Herzegovina	Bosnie-Herzégovine
73	BLM	Saint Barthélemy	Saint-Barthélemy
74	BLR	Belarus	Bélarus
75	BLZ	Belize	Belize
76	BMU	Bermuda	Bermudes
77	BOL	Bolivia	État plurinational de Bolivie
78	BRA	Brazil	Brésil
79	BRB	Barbados	Barbade
80	BRN	Brunei Darussalam	Brunei Darussalam
81	BTN	Bhutan	Bhoutan
82	BVT	Bouvet Island	Île Bouvet
83	BWA	Botswana	Botswana
84	CAF	Central African Republic	République centrafricaine
85	CAN	Canada	Canada
86	CCK	Cocos (Keeling) Islands	Îles Cocos
87	CHE	Switzerland	Suisse
88	CHL	Chile	Chili
89	CHN	China	Chine
90	CIV	Côte d’Ivoire	Côte d’Ivoire
91	CMR	Cameroon	Cameroun
92	COD	DRC	RDC
93	COG	Congo	Congo
94	COK	Cook Islands	Îles Cook
95	COL	Colombia	Colombie
96	COM	Comoros	Comores
97	CPV	Cabo Verde	Cabo Verde
98	CRI	Costa Rica	Costa Rica
99	CUB	Cuba	Cuba
100	CUW	Curaçao	Curaçao
101	CXR	Christmas Island	Île Christmas
102	CYM	Cayman Islands	Îles Caïmanes
103	CYP	Cyprus	Chypre
104	CZE	Czechia	Tchéquie
105	DEU	Germany	Allemagne
106	DJI	Djibouti	Djibouti
107	DMA	Dominica	Dominique
108	DNK	Denmark	Danemark
109	DOM	Dominican Republic	République dominicaine
110	DZA	Algeria	Algérie
111	EA17	Euro area (17)	Zone euro 17
112	ECU	Ecuador	Équateur
113	EGY	Egypt	Égypte
114	ERI	Eritrea	Érythrée
115	ESP	Spain	Espagne
116	EST	Estonia	Estonie
117	ETH	Ethiopia	Éthiopie
118	FIN	Finland	Finlande
119	FJI	Fiji	Fidji
120	FLK	Falkland Islands (Malvinas)	Îles Falkland (Malouines)
121	FRA	France	France
122	FRO	Faroe Islands	Îles Féroé
123	FSM	Micronesia	Micronésie
124	GAB	Gabon	Gabon
125	GBR	United Kingdom	Royaume-Uni
126	GEO	Georgia	Géorgie
127	GGY	Bailiwick of Guernsey	Bailliage de Guernesey
128	GHA	Ghana	Ghana
129	GIB	Gibraltar	Gibraltar
130	GIN	Guinea	Guinée
131	GLP	Guadeloupe	Guadeloupe
132	GMB	Gambia	Gambie
133	GNB	Guinea-Bissau	Guinée-Bissau
134	GNQ	Equatorial Guinea	Guinée équatoriale
135	GRC	Greece	Grèce
136	GRD	Grenada	Grenade
137	GRL	Greenland	Groenland
138	GTM	Guatemala	Guatemala
139	GUF	French Guiana	Guyane française
140	GUY	Guyana	Guyana
141	HKG	Hong Kong, China	Hong Kong (Chine)
142	HMD	HIMI	Îles Heard et McDonald
143	HND	Honduras	Honduras
144	HRV	Croatia	Croatie
145	HTI	Haiti	Haïti
146	HUN	Hungary	Hongrie
147	IDN	Indonesia	Indonésie
148	IMN	Isle of Man	Île de Man
149	IND	India	Inde
150	IOT	British Indian Ocean Territory	Territoire britannique de l’océan Indien
151	IRL	Ireland	Irlande
152	IRN	Iran	Iran
153	IRQ	Iraq	Iraq
154	ISL	Iceland	Islande
155	ISR	Israel	Israël
156	ITA	Italy	Italie
157	JAM	Jamaica	Jamaïque
158	JEY	Jersey	Jersey
159	JOR	Jordan	Jordanie
160	JPN	Japan	Japon
161	KAZ	Kazakhstan	Kazakhstan
162	KEN	Kenya	Kenya
163	KGZ	Kyrgyzstan	Kirghizistan
164	KHM	Cambodia	Cambodge
165	KIR	Kiribati	Kiribati
166	KNA	Saint Kitts and Nevis	Saint-Kitts-et-Nevis
167	KOR	Korea	Corée
168	KWT	Kuwait	Koweït
169	LAO	Lao PDR	RDP lao
170	LBN	Lebanon	Liban
171	LBR	Liberia	Libéria
172	LBY	Libya	Libye
173	LCA	Saint Lucia	Sainte-Lucie
174	LIE	Liechtenstein	Liechtenstein
175	LKA	Sri Lanka	Sri Lanka
176	LSO	Lesotho	Lesotho
177	LTU	Lithuania	Lituanie
178	LUX	Luxembourg	Luxembourg
179	LVA	Latvia	Lettonie
180	MAC	Macau, China	Macao (Chine)
181	MAF	Saint Martin	Saint-Martin
182	MAR	Morocco	Maroc
183	MCO	Monaco	Monaco
184	MDA	Moldova	Moldova
185	MDG	Madagascar	Madagascar
186	MDV	Maldives	Maldives
187	MEX	Mexico	Mexique
188	MHL	Marshall Islands	Îles Marshall
189	MKD	North Macedonia	Macédoine du Nord
190	MLI	Mali	Mali
191	MLT	Malta	Malte
192	MMR	Myanmar	Myanmar
193	MNE	Montenegro	Monténégro
194	MNG	Mongolia	Mongolie
195	MOZ	Mozambique	Mozambique
196	MRT	Mauritania	Mauritanie
197	MTQ	Martinique	Martinique
198	MUS	Mauritius	Maurice
199	MWI	Malawi	Malawi
200	MYS	Malaysia	Malaisie
201	MYT	Mayotte	Mayotte
202	NAM	Namibia	Namibie
203	NCL	New Caledonia	Nouvelle-Calédonie
204	NER	Niger	Niger
205	NFK	Norfolk Island	Île Norfolk
206	NGA	Nigeria	Nigéria
207	NIC	Nicaragua	Nicaragua
208	NIU	Niue	Niue
209	NLD	Netherlands	Pays-Bas
210	NOR	Norway	Norvège
211	NPL	Nepal	Népal
212	NRU	Nauru	Nauru
213	NZL	New Zealand	Nouvelle-Zélande
214	OMN	Oman	Oman
215	OTO	OECD	Total OCDE
216	PAK	Pakistan	Pakistan
217	PAN	Panama	Panama
218	PER	Peru	Pérou
219	PHL	Philippines	Philippines
220	PLW	Palau	Palaos
221	PNG	Papua New Guinea	Papouasie-Nouvelle-Guinée
222	POL	Poland	Pologne
223	PRK	DPRK	RPDC
224	PRT	Portugal	Portugal
225	PRY	Paraguay	Paraguay
226	PYF	French Polynesia	Polynésie française
227	QAT	Qatar	Qatar
228	REU	Réunion	La Réunion
229	ROU	Romania	Roumanie
230	RUS	Russia	Russie
231	RWA	Rwanda	Rwanda
232	SAU	Saudi Arabia	Arabie saoudite
233	SDN	Sudan	Soudan
234	SEN	Senegal	Sénégal
235	SGP	Singapore	Singapour
236	SJM	Svalbard and Jan Mayen	Svalbard et Jan Mayen
237	SLB	Solomon Islands	Îles Salomon
238	SLE	Sierra Leone	Sierra Leone
239	SLV	El Salvador	El Salvador
240	SMR	San Marino	Saint-Marin
241	SOM	Somalia	Somalie
242	SPM	Saint Pierre and Miquelon	Saint-Pierre-et-Miquelon
243	SRB	Serbia	Serbie
244	SSD	South Sudan	Soudan du Sud
245	STP	Sao Tome and Principe	Sao Tomé-et-Principe
246	SUR	Suriname	Suriname
247	SVK	Slovak Republic	Rép. slovaque
248	SVN	Slovenia	Slovénie
249	SWE	Sweden	Suède
250	SWZ	Eswatini	Eswatini
251	SXM	Sint Maarten	Sint-Maarten
252	SYC	Seychelles	Seychelles
253	SYR	Syria	Syrie
254	TCA	Turks and Caicos Islands	Îles Turks et Caicos
255	TCD	Chad	Tchad
256	TGO	Togo	Togo
257	THA	Thailand	Thaïlande
258	TJK	Tajikistan	Tadjikistan
259	TKL	Tokelau	Tokélaou
260	TKM	Turkmenistan	Turkménistan
261	TLS	Timor-Leste	Timor-Leste
262	TON	Tonga	Tonga
263	TTO	Trinidad and Tobago	Trinité-et-Tobago
264	TUN	Tunisia	Tunisie
265	TUR	Türkiye	Türkiye
266	TUV	Tuvalu	Tuvalu
267	TWN	Chinese Taipei	Taipei chinois
268	TZA	Tanzania	Tanzanie
269	UGA	Uganda	Ouganda
270	UKR	Ukraine	Ukraine
271	URY	Uruguay	Uruguay
272	USA	United States	États-Unis
273	UZB	Uzbekistan	Ouzbékistan
274	VAT	Holy See	Saint-Siège
275	VCT	Saint Vincent and the Grenadines	Saint-Vincent-et-les-Grenadines
276	VEN	Venezuela	Venezuela
277	VGB	British Virgin Islands	Îles Vierges britanniques
278	VIR	United States Virgin Islands	Îles Vierges des États-Unis
279	VNM	Viet Nam	Viêt Nam
280	WLD	World	Monde
281	WLF	Wallis and Futuna	Wallis-et-Futuna
282	WSM	Samoa	Samoa
283	YEM	Yemen	Yémen
284	ZAF	South Africa	Afrique du Sud
285	ZMB	Zambia	Zambie
286	ZWE	Zimbabwe	Zimbabwe
287	OECD	OECD	OCDE
288	balance_headline_indics	Time spent on leisure, Gender gap in hours worked	Temps libre, Écart entre les genres en termes de temps de travail
289	civic_headline_indics	Having no say in government, Voter turnout	Avoir son mot à dire concernant l’action des pouvoirs publics (privation), Taux de participation électorale
290	community_headline_indics	Lack of social support, Social interactions	Soutien social (privation), Temps consacré aux interactions sociales
291	education_headline_indics	Students with low skills, Student maths skills	Compétences des élèves en compréhension de l’écrit (privation), Compétences des élèves en mathématiques
292	environment_headline_indics	Exposure to outdoor air pollution, Exposure to extreme temperatures	Exposition à la pollution de l'air extérieur, Exposition à des températures extrêmes
293	health_headline_indics	Life expectancy, Deaths of despair	Espérance de vie à la naissance, Décès dus au suicide, à l’alcool ou à la drogue
294	housing_headline_indics	Overcrowding rate, Housing affordability	Taux de surpeuplement, Accessibilité financière du logement
295	income_headline_indics	Household income, S80/S20 income share ratio, Household net wealth	Revenu disponible ajusté annuel des ménages, Rapport entre les revenus des  % les plus riches et les revenus des  % les plus, Patrimoine net médian des ménages
296	jobs_headline_indics	Employment rate, Gender wage gap, Long hours in paid work	Taux d’emploi, Écart salarial entre les genres, Longues heures de travail rémunéré
297	safety_headline_indics	Homicides, Feeling unsafe at night	Homicides, Sentiment de sécurité la nuit (privation)
298	satisfaction_headline_indics	Life satisfaction, Negative affect balance	Satisfaction à l'égard de la vie, Bilan émotionnel négatif
299	metadata_note	Learn more about the indicators used	Pour en savoir plus sur les indicateurs utilisés, cliquez
300	metadata_note_click	here.	ici.
